Extract tasks...
Tuning...
INFO:autotvm:Get devices for measurement successfully!
DEBUG:autotvm:No: 1	GFLOPS: 0.0000/0.0000	cost: 0.0000	result: MeasureResult(costs=(InstantiationError('Skipped because of invalid gpu kernel',),), error_no=1, all_cost=0.06154012680053711, timestamp=1543904793.099984)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [4, 1, 128, 1]), ('tile_x', [2, 4, 1, 2]), ('tile_rc', [2, 256]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,65389
DEBUG:autotvm:No: 114	GFLOPS: 2387.7603/2940.0972	cost: 0.0001	result: MeasureResult(costs=(9.683175e-05,), error_no=0, all_cost=1.3269095420837402, timestamp=1543905116.6396332)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,112240
DEBUG:autotvm:No: 115	GFLOPS: 3279.5004/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.05019e-05,), error_no=0, all_cost=1.2348909378051758, timestamp=1543905117.4446447)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,343240
DEBUG:autotvm:No: 116	GFLOPS: 2686.8645/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.605235e-05,), error_no=0, all_cost=1.3154730796813965, timestamp=1543905118.2351644)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [1, 1, 2, 8]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,338395
DEBUG:autotvm:No: 117	GFLOPS: 2910.4800/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.944085e-05,), error_no=0, all_cost=1.3528881072998047, timestamp=1543905119.027721)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,345435
DEBUG:autotvm:No: 118	GFLOPS: 3067.9767/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.53627e-05,), error_no=0, all_cost=1.316861629486084, timestamp=1543905119.8239467)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,344160
DEBUG:autotvm:No: 119	GFLOPS: 2271.2626/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.00010179845,), error_no=0, all_cost=1.1507058143615723, timestamp=1543905120.608118)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 2, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,327621
DEBUG:autotvm:No: 120	GFLOPS: 2574.4762/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.980895e-05,), error_no=0, all_cost=1.2937650680541992, timestamp=1543905121.415588)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 16, 1]), ('tile_x', [1, 1, 2, 8]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,338396
DEBUG:autotvm:No: 121	GFLOPS: 3232.1857/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.153395e-05,), error_no=0, all_cost=1.3247575759887695, timestamp=1543905122.1990092)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,336460
DEBUG:autotvm:No: 122	GFLOPS: 2458.5002/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.404555000000001e-05,), error_no=0, all_cost=1.212888479232788, timestamp=1543905122.9880385)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,328275
DEBUG:autotvm:No: 123	GFLOPS: 1615.7405/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.0001430991,), error_no=0, all_cost=1.2881109714508057, timestamp=1543905123.8054602)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,120375
DEBUG:autotvm:No: 124	GFLOPS: 2667.2966/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.668365e-05,), error_no=0, all_cost=1.3297433853149414, timestamp=1543905124.6089723)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [16, 32]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,351375
DEBUG:autotvm:No: 125	GFLOPS: 2633.6647/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.77906e-05,), error_no=0, all_cost=1.2308778762817383, timestamp=1543905125.4040053)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,343285
DEBUG:autotvm:No: 126	GFLOPS: 2737.1984/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.446995e-05,), error_no=0, all_cost=1.177847146987915, timestamp=1543905126.188311)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,335585
DEBUG:autotvm:No: 127	GFLOPS: 2766.3272/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.35805e-05,), error_no=0, all_cost=1.1536481380462646, timestamp=1543905126.98663)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,104585
DEBUG:autotvm:No: 128	GFLOPS: 2830.4280/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.168765e-05,), error_no=0, all_cost=1.1817831993103027, timestamp=1543905127.7889526)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,112285
DEBUG:autotvm:No: 129	GFLOPS: 1317.0090/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.00017555765,), error_no=0, all_cost=1.2544398307800293, timestamp=1543905128.5631554)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,88920
DEBUG:autotvm:No: 130	GFLOPS: 2478.5231/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.32858e-05,), error_no=0, all_cost=1.2534511089324951, timestamp=1543905129.342092)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 16, 1]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,345436
DEBUG:autotvm:No: 131	GFLOPS: 2711.8822/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.52585e-05,), error_no=0, all_cost=1.2537331581115723, timestamp=1543905130.1398993)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 4, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,344161
DEBUG:autotvm:No: 132	GFLOPS: 2931.0960/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.88821e-05,), error_no=0, all_cost=1.166867733001709, timestamp=1543905130.9297616)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [1, 1, 4, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,337735
DEBUG:autotvm:No: 133	GFLOPS: 2353.8090/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.822845000000001e-05,), error_no=0, all_cost=1.199894666671753, timestamp=1543905131.6462862)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,173670
DEBUG:autotvm:No: 134	GFLOPS: 3057.4933/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.562110000000001e-05,), error_no=0, all_cost=1.2265684604644775, timestamp=1543905132.4364078)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,337520
DEBUG:autotvm:No: 135	GFLOPS: 1316.5909/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.0001756134,), error_no=0, all_cost=1.113142728805542, timestamp=1543905133.1687818)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,242920
DEBUG:autotvm:No: 136	GFLOPS: 1947.4246/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.00011872655,), error_no=0, all_cost=1.118178367614746, timestamp=1543905133.933868)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,321945
DEBUG:autotvm:No: 137	GFLOPS: 1791.4474/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.0001290638,), error_no=0, all_cost=1.2173545360565186, timestamp=1543905134.7275229)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,104980
DEBUG:autotvm:No: 138	GFLOPS: 2082.9548/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.00011100145000000001,), error_no=0, all_cost=1.1429452896118164, timestamp=1543905135.4899504)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [2, 2, 2, 2]), ('tile_rc', [256, 2]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,320140
DEBUG:autotvm:No: 139	GFLOPS: 2372.1358/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.746955e-05,), error_no=0, all_cost=1.1185722351074219, timestamp=1543905136.2178288)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [8, 1, 32, 2]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,19670
DEBUG:autotvm:No: 140	GFLOPS: 1169.6425/3279.5004	cost: 0.0001	result: MeasureResult(costs=(0.00019767665000000001,), error_no=0, all_cost=2.9739315509796143, timestamp=1543905137.8084216)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 32, 1]), ('tile_x', [4, 1, 2, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,404620
DEBUG:autotvm:No: 141	GFLOPS: 2404.1806/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.61704e-05,), error_no=0, all_cost=1.1452879905700684, timestamp=1543905138.589709)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [2, 1, 4, 2]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,97325
DEBUG:autotvm:No: 142	GFLOPS: 2839.7794/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.141865e-05,), error_no=0, all_cost=1.1829211711883545, timestamp=1543905139.3960924)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,113995
DEBUG:autotvm:No: 143	GFLOPS: 2597.0755/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.902745e-05,), error_no=0, all_cost=1.1269176006317139, timestamp=1543905140.1821232)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,106295
DEBUG:autotvm:No: 144	GFLOPS: 2560.4706/3279.5004	cost: 0.0001	result: MeasureResult(costs=(9.03002e-05,), error_no=0, all_cost=1.2476377487182617, timestamp=1543905140.989652)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [2, 1, 2, 4]), ('tile_rc', [32, 16]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,344995
DEBUG:autotvm:XGB iter:   0	tr-a-recall@64: 0.462207	tr-map: 0.020408
DEBUG:autotvm:XGB iter:  25	tr-a-recall@64: 0.799914	tr-map: 0.066667
DEBUG:autotvm:XGB iter:  50	tr-a-recall@64: 0.830628	tr-map: 0.166667
DEBUG:autotvm:XGB stopped. Best iteration: [48] tr-a-recall@64:0.837051	tr-map:0.125 
DEBUG:autotvm:XGB train: 1.12	obs: 144	error: 53	n_cache: 31430
DEBUG:autotvm:SA iter: 50	last_update: 49	max-0: 6.23	max-1: 7.60	temp: 0.90	elapsed: 7.35
DEBUG:autotvm:SA iter: 100	last_update: 87	max-0: 6.32	max-1: 7.60	temp: 0.80	elapsed: 17.11
DEBUG:autotvm:SA iter: 150	last_update: 129	max-0: 6.34	max-1: 7.60	temp: 0.70	elapsed: 26.15
DEBUG:autotvm:SA iter: 179	last_update: 129	max-0: 6.34	max-1: 7.60	elapsed: 30.95
DEBUG:autotvm:SA Maximums: [(7.59626, 28460), (7.59626, 105460), (7.595254, 259460), (7.3790083, 336240), (7.25224, 182460), (7.251234, 413460), (7.2376313, 259240), (7.182205, 105240), (7.040828, 28240), (7.039478, 334040), (7.0349884, 413240), (6.960486, 337565), (6.9303513, 336245), (6.898101, 257040), (6.8933454, 334081), (6.8381863, 182240), (6.819109, 260565), (6.804118, 411040), (6.7943754, 337515), (6.7889743, 259245), (6.7606173, 334039), (6.753227, 326340), (6.753227, 249340), (6.7519684, 257081), (6.745613, 335805), (6.6659904, 103040), (6.6529984, 260515), (6.644338, 336239), (6.6355686, 28454), (6.6355686, 105454), (6.6345634, 336454), (6.6345634, 259454), (6.604236, 258805), (6.586332, 413245), (6.5761275, 328540), (6.5761275, 251540), (6.567812, 334076), (6.561214, 106565), (6.549325, 411081), (6.5246134, 26040), (6.5178676, 403340), (6.514341, 257039), (6.5098863, 260520), (6.499535, 414565), (6.4717193, 334045), (6.463214, 414515), (6.447535, 105239), (6.4306307, 180040), (6.426435, 257076), (6.4262104, 343895), (6.4240475, 113160), (6.4218874, 333641), (6.419837, 29565), (6.4165974, 411039), (6.3980618, 259239), (6.38713, 103039), (6.381421, 336246), (6.372016, 103296), (6.372016, 26296), (6.372016, 334296), (6.372016, 257296), (6.371009, 103076), (6.355498, 105245), (6.3441906, 326376)]
DEBUG:autotvm:No: 145	GFLOPS: 3048.2704/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.584990000000001e-05,), error_no=0, all_cost=1.1672906875610352, timestamp=1543905176.0572755)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,28460
DEBUG:autotvm:No: 146	GFLOPS: 3256.6536/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.09965e-05,), error_no=0, all_cost=1.2501022815704346, timestamp=1543905176.8177152)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,105460
DEBUG:autotvm:No: 147	GFLOPS: 3057.4003/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.56234e-05,), error_no=0, all_cost=1.0633580684661865, timestamp=1543905177.5057583)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,259460
DEBUG:autotvm:No: 148	GFLOPS: 2785.9433/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.299200000000001e-05,), error_no=0, all_cost=1.2258217334747314, timestamp=1543905178.2883804)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,336240
DEBUG:autotvm:No: 149	GFLOPS: 3261.1942/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.089765e-05,), error_no=0, all_cost=1.083981990814209, timestamp=1543905179.045886)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,182460
DEBUG:autotvm:No: 150	GFLOPS: 3261.8499/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.088339999999999e-05,), error_no=0, all_cost=1.2317147254943848, timestamp=1543905179.780121)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 1, 8, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,413460
DEBUG:autotvm:No: 151	GFLOPS: 2797.8894/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.263765e-05,), error_no=0, all_cost=1.2910284996032715, timestamp=1543905180.5907536)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,259240
DEBUG:autotvm:No: 152	GFLOPS: 3226.8898/3279.5004	cost: 0.0001	result: MeasureResult(costs=(7.165134999999999e-05,), error_no=0, all_cost=1.278693437576294, timestamp=1543905181.4089954)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,105240
DEBUG:autotvm:No: 153	GFLOPS: 2804.2436/3279.5004	cost: 0.0001	result: MeasureResult(costs=(8.24504e-05,), error_no=0, all_cost=1.1347544193267822, timestamp=1543905182.1448832)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 0)],winograd,None,28240
DEBUG:autotvm:No: 154	GFLOPS: 3299.8348/3299.8348	cost: 0.0001	result: MeasureResult(costs=(7.006745000000001e-05,), error_no=0, all_cost=1.2874691486358643, timestamp=1543905182.9480379)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,334040
DEBUG:autotvm:No: 155	GFLOPS: 2790.0043/3299.8348	cost: 0.0001	result: MeasureResult(costs=(8.28712e-05,), error_no=0, all_cost=1.244039535522461, timestamp=1543905183.6953175)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,413240
DEBUG:autotvm:No: 156	GFLOPS: 2728.5930/3299.8348	cost: 0.0001	result: MeasureResult(costs=(8.473635000000001e-05,), error_no=0, all_cost=1.270026445388794, timestamp=1543905184.5071998)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,337565
DEBUG:autotvm:No: 157	GFLOPS: 3136.6701/3299.8348	cost: 0.0001	result: MeasureResult(costs=(7.371224999999999e-05,), error_no=0, all_cost=1.274460792541504, timestamp=1543905185.2990215)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,336245
DEBUG:autotvm:No: 158	GFLOPS: 3099.8523/3299.8348	cost: 0.0001	result: MeasureResult(costs=(7.458775e-05,), error_no=0, all_cost=1.173473596572876, timestamp=1543905186.0978796)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,257040
DEBUG:autotvm:No: 159	GFLOPS: 3255.0214/3299.8348	cost: 0.0001	result: MeasureResult(costs=(7.10321e-05,), error_no=0, all_cost=1.24092435836792, timestamp=1543905186.8997967)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 8, 4]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,334081
DEBUG:autotvm:No: 160	GFLOPS: 3213.5001/3299.8348	cost: 0.0001	result: MeasureResult(costs=(7.19499e-05,), error_no=0, all_cost=1.285508394241333, timestamp=1543905187.6680052)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 0)],winograd,None,182240
DEBUG:autotvm:No: 161	GFLOPS: 2718.7781/3299.8348	cost: 0.0001	result: MeasureResult(costs=(8.504225000000001e-05,), error_no=0, all_cost=1.3058159351348877, timestamp=1543905188.4831278)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,260565
DEBUG:autotvm:No: 162	GFLOPS: 3317.0788/3317.0788	cost: 0.0001	result: MeasureResult(costs=(6.97032e-05,), error_no=0, all_cost=1.2607126235961914, timestamp=1543905189.2287948)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 1500), ('unroll_explicit', 1)],winograd,None,411040
DEBUG:autotvm:No: 163	GFLOPS: 2778.4408/3317.0788	cost: 0.0001	result: MeasureResult(costs=(8.32161e-05,), error_no=0, all_cost=1.3617603778839111, timestamp=1543905190.047043)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,337515
DEBUG:autotvm:No: 164	GFLOPS: 3000.4705/3317.0788	cost: 0.0001	result: MeasureResult(costs=(7.705825e-05,), error_no=0, all_cost=1.2585086822509766, timestamp=1543905190.844622)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [1, 2, 4, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,259245
DEBUG:autotvm:No: 165	GFLOPS: 2740.4118/3317.0788	cost: 0.0001	result: MeasureResult(costs=(8.43709e-05,), error_no=0, all_cost=1.3139164447784424, timestamp=1543905191.6498594)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [32, 1, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,334039
DEBUG:autotvm:No: 166	GFLOPS: 2654.0621/3317.0788	cost: 0.0001	result: MeasureResult(costs=(8.71159e-05,), error_no=0, all_cost=1.218108892440796, timestamp=1543905192.4488978)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,326340
DEBUG:autotvm:No: 167	GFLOPS: 2555.3514/3317.0788	cost: 0.0001	result: MeasureResult(costs=(9.048110000000001e-05,), error_no=0, all_cost=1.2745165824890137, timestamp=1543905193.2268217)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [128, 4]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,249340
DEBUG:autotvm:No: 168	GFLOPS: 3056.5172/3317.0788	cost: 0.0001	result: MeasureResult(costs=(7.564525e-05,), error_no=0, all_cost=1.2622220516204834, timestamp=1543905194.0144804)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 8, 4]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,257081
DEBUG:autotvm:No: 169	GFLOPS: 3250.5597/3317.0788	cost: 0.0001	result: MeasureResult(costs=(7.11296e-05,), error_no=0, all_cost=1.3244969844818115, timestamp=1543905194.829901)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 1, 16, 2]), ('tile_x', [1, 4, 2, 2]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 1)],winograd,None,335805
DEBUG:autotvm:No: 170	GFLOPS: 3246.6730/3317.0788	cost: 0.0001	result: MeasureResult(costs=(7.121475e-05,), error_no=0, all_cost=1.2989692687988281, timestamp=1543905195.6281114)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 8, 2]), ('tile_x', [1, 2, 8, 1]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 128), ('unroll_explicit', 0)],winograd,None,103040
DEBUG:autotvm:No: 171	GFLOPS: 2745.9006/3317.0788	cost: 0.0001	result: MeasureResult(costs=(8.420225e-05,), error_no=0, all_cost=1.2480218410491943, timestamp=1543905196.4419973)	[('tile_b', [16, 1, 1, 1]), ('tile_y', [16, 2, 16, 1]), ('tile_x', [1, 2, 2, 4]), ('tile_rc', [64, 8]), ('auto_unroll_max_step', 0), ('unroll_explicit', 1)],winograd,None,260515
